rmsk_index	tag	internal_id	block_id	int_type	genoName	genoStart	genoEnd	strand	repName	length	element_family
273570	228517_aINT_open	MLT1G3_228517_aINT_join_1	MLT1G3_228517	aINT	chr1	153558753	153558808	+	MLT1G3	55	MLT1G3
273572	228517_aINT_mid	MLT1G3_228517_aINT_join_1	MLT1G3_228517	aINT	chr1	153559099	153559208	+	MLT1G3	109	MLT1G3
273575	228517_aINT_close	MLT1G3_228517_aINT_join_1	MLT1G3_228517	aINT	chr1	153559551	153559856	+	MLT1G3	305	MLT1G3
862277	722024_bINT_open	MLT1G3_722024_bINT_join_1	MLT1G3_722024	bINT	chr11	88454794	88455244	+	MLT1G3	450	MLT1G3
862279	722024_bINT_close	MLT1G3_722024_bINT_join_1	MLT1G3_722024	bINT	chr11	88455371	88455451	+	MLT1G3	80	MLT1G3
2621475	2196333_aINT_open	MLT1G3_2196333_aINT_join_1	MLT1G3_2196333	aINT	chr2	170738481	170738579	-	MLT1G3	98	MLT1G3
2621473	2196333_aINT_close	MLT1G3_2196333_aINT_join_1	MLT1G3_2196333	aINT	chr2	170737679	170738173	-	MLT1G3	494	MLT1G3
3971312	3323748_bINT_open	MLT1G3_3323748_bINT_join_1	MLT1G3_3323748	bINT	chr5	152611256	152611470	-	MLT1G3	214	MLT1G3
3971310	3323748_bINT_close	MLT1G3_3323748_bINT_join_1	MLT1G3_3323748	bINT	chr5	152610738	152611135	-	MLT1G3	397	MLT1G3
606972	507591_bINT_overlap_open	MLT1G3_507591_bINT_join_1	MLT1G3_507591	bINT	chr10	85349802	85350028	-	MLT1G3	226	MLT1G3
606970	507591_bINT_overlap_close	MLT1G3_507591_bINT_join_1	MLT1G3_507591	bINT	chr10	85349403	85349745	-	MLT1G3	342	MLT1G3
273559	228517_bINT_singleton	MLT1G3_228517_bINT_singleton_1	MLT1G3_228517	bINT	chr1	153555560	153556051	+	MLT1G3	491	MLT1G3
553307	462316_bINT_singleton	MLT1G3_462316_bINT_singleton_1	MLT1G3_462316	bINT	chr10	58046787	58047357	+	MLT1G3	570	MLT1G3
553309	462316_aINT_singleton	MLT1G3_462316_aINT_singleton_1	MLT1G3_462316	aINT	chr10	58048701	58049291	+	MLT1G3	590	MLT1G3
606974	507591_aINT_singleton	MLT1G3_507591_aINT_singleton_1	MLT1G3_507591	aINT	chr10	85351363	85351865	-	MLT1G3	502	MLT1G3
862283	722024_aINT_singleton	MLT1G3_722024_aINT_singleton_1	MLT1G3_722024	aINT	chr11	88456891	88457448	+	MLT1G3	557	MLT1G3
966035	808827_bINT_singleton	MLT1G3_808827_bINT_singleton_1	MLT1G3_808827	bINT	chr12	9041429	9041908	+	MLT1G3	479	MLT1G3
966039	808827_aINT_singleton	MLT1G3_808827_aINT_singleton_1	MLT1G3_808827	aINT	chr12	9043611	9044142	+	MLT1G3	531	MLT1G3
1295496	1083715_bINT_singleton	MLT1G3_1083715_bINT_singleton_1	MLT1G3_1083715	bINT	chr13	68035277	68035810	-	MLT1G3	533	MLT1G3
1295498	1083715_aINT_singleton	MLT1G3_1083715_aINT_singleton_1	MLT1G3_1083715	aINT	chr13	68036068	68036625	-	MLT1G3	557	MLT1G3
1607292	1343093_bINT_singleton	MLT1G3_1343093_bINT_singleton_1	MLT1G3_1343093	bINT	chr15	56807713	56808057	-	MLT1G3	344	MLT1G3
1607294	1343093_aINT_singleton	MLT1G3_1343093_aINT_singleton_1	MLT1G3_1343093	aINT	chr15	56809348	56809861	-	MLT1G3	513	MLT1G3
1641504	1372242_bINT_singleton	MLT1G3_1372242_bINT_singleton_1	MLT1G3_1372242	bINT	chr15	72827103	72827511	+	MLT1G3	408	MLT1G3
1641516	1372242_aINT_singleton	MLT1G3_1372242_aINT_singleton_1	MLT1G3_1372242	aINT	chr15	72833540	72833850	+	MLT1G3	310	MLT1G3
2350224	1970412_bINT_singleton	MLT1G3_1970412_bINT_singleton_1	MLT1G3_1970412	bINT	chr2	17658120	17658622	-	MLT1G3	502	MLT1G3
2350226	1970412_aINT_singleton	MLT1G3_1970412_aINT_singleton_1	MLT1G3_1970412	aINT	chr2	17659892	17660416	-	MLT1G3	524	MLT1G3
2621462	2196333_bINT_singleton	MLT1G3_2196333_bINT_singleton_1	MLT1G3_2196333	bINT	chr2	170734177	170734666	-	MLT1G3	489	MLT1G3
2626101	2200135_bINT_singleton	MLT1G3_2200135_bINT_singleton_1	MLT1G3_2200135	bINT	chr2	172910445	172911026	-	MLT1G3	581	MLT1G3
2626109	2200135_aINT_singleton	MLT1G3_2200135_aINT_singleton_1	MLT1G3_2200135	aINT	chr2	172913314	172913627	-	MLT1G3	313	MLT1G3
